@relation 'data-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A>=8,1,ifelse(A>=6.5,2,ifelse(A>=5,3,4)))-V-R2-weka.filters.unsupervised.attribute.NumericToNominal-R2-weka.filters.unsupervised.attribute.RenameNominalValues-R2-N1:Gioi,2:Kha,3:TB,4:Yeu-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A>=8,1,ifelse(A>=6.5,2,ifelse(A>=5,3,4)))-V-R3-9-weka.filters.unsupervised.attribute.NumericToNominal-R3-9-weka.filters.unsupervised.attribute.RenameNominalValues-R3-9-N1:Gioi,2:Kha,3:TB,4:Yeu-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.Remove-R10-12-weka.filters.unsupervised.attribute.Remove-R1'

@attribute Toan {Gioi,Kha,TB,Yeu}
@attribute Li {Gioi,Kha,TB,Yeu}
@attribute Hoa {Gioi,Kha,TB,Yeu}
@attribute Sinh {Gioi,Kha,TB,Yeu}
@attribute Van {Gioi,Kha,TB,Yeu}
@attribute Su {Gioi,Kha,TB,Yeu}
@attribute Dia {Gioi,Kha,TB,Yeu}
@attribute Ngoai_Ngu {Gioi,Kha,TB,Yeu}
@attribute Nganh_Holland {'Kinh doanh','Nghiên cứu','Xã hội','Kỹ thuật','Nghiệp vụ','Nghệ thuật'}

@data
Gioi,Kha,Kha,Gioi,Gioi,Gioi,Gioi,Gioi,'Kỹ thuật'
Gioi,Kha,Gioi,Gioi,Kha,Kha,Gioi,Kha,'Kỹ thuật'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Gioi,'Nghiên cứu'
Gioi,Kha,Kha,Gioi,Gioi,Kha,Gioi,Gioi,'Kỹ thuật'
Gioi,Gioi,Kha,Gioi,Kha,Gioi,Gioi,Gioi,'Nghiên cứu'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Gioi,'Kỹ thuật'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Gioi,'Nghiên cứu'
Gioi,Gioi,Kha,Gioi,Kha,Kha,Gioi,Gioi,'Xã hội'
Gioi,Kha,Kha,Gioi,Kha,Kha,Gioi,Gioi,'Kinh doanh'
Gioi,Kha,Kha,Gioi,Kha,Kha,Kha,TB,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Gioi,Kha,'Nghiên cứu'
Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,Kha,'Kinh doanh'
Kha,Kha,TB,Gioi,Kha,Kha,Kha,Kha,'Kinh doanh'
Gioi,Gioi,Kha,Gioi,Kha,Kha,Gioi,Kha,'Kỹ thuật'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Kha,'Xã hội'
Gioi,Kha,Kha,Gioi,Kha,Kha,Gioi,Kha,'Xã hội'
Kha,Gioi,Kha,Gioi,Kha,Kha,Gioi,Kha,'Nghiệp vụ'
Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Kha,Kha,Kha,Kha,Gioi,Kha,'Nghiệp vụ'
Gioi,Kha,Kha,Gioi,Kha,Kha,Gioi,TB,'Nghiệp vụ'
Gioi,Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Gioi,Kha,'Kỹ thuật'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Kha,'Xã hội'
Gioi,Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,Kha,'Nghiên cứu'
Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,Kha,'Kỹ thuật'
Gioi,Gioi,Kha,Gioi,Gioi,Gioi,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Kha,Gioi,Kha,Kha,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Kha,'Nghiệp vụ'
Gioi,Gioi,Kha,Gioi,Gioi,Kha,Gioi,Kha,'Nghiên cứu'
Gioi,Kha,TB,Kha,Gioi,Kha,Gioi,Kha,'Nghệ thuật'
Gioi,Gioi,Kha,Gioi,Kha,Kha,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Kha,'Nghiên cứu'
Kha,Gioi,Kha,Gioi,Kha,Kha,Gioi,Kha,'Xã hội'
Gioi,Gioi,Kha,Gioi,Kha,Kha,Gioi,Kha,'Kỹ thuật'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Gioi,'Nghệ thuật'
Kha,Kha,Kha,Gioi,Kha,Gioi,Gioi,Kha,'Xã hội'
Gioi,Kha,Kha,Gioi,Gioi,Kha,Gioi,Kha,'Kỹ thuật'
Gioi,Gioi,Kha,Gioi,Gioi,Kha,Gioi,Gioi,'Nghiên cứu'
Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,Kha,'Nghiệp vụ'
Gioi,Gioi,Kha,Gioi,Kha,Kha,Gioi,Kha,'Nghiên cứu'
Gioi,Gioi,Kha,Gioi,Gioi,Kha,Gioi,Kha,'Xã hội'
Gioi,Gioi,Kha,Gioi,Gioi,Kha,Gioi,Gioi,'Xã hội'
Gioi,Gioi,Kha,Gioi,Gioi,Kha,Gioi,Kha,'Xã hội'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Kha,'Kỹ thuật'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Kha,'Xã hội'
Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Kha,Gioi,Gioi,Gioi,Gioi,Kha,'Kỹ thuật'
Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Gioi,Kha,'Nghiệp vụ'
Gioi,Kha,Gioi,Kha,Kha,Kha,Kha,Kha,'Kinh doanh'
Kha,Gioi,Kha,Gioi,Kha,Kha,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Kha,Gioi,Kha,Kha,Gioi,Gioi,'Nghiệp vụ'
Gioi,Gioi,Kha,Gioi,Kha,Kha,Gioi,Gioi,'Nghiệp vụ'
Gioi,Gioi,Gioi,Kha,Kha,Gioi,Kha,Gioi,'Xã hội'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Gioi,'Kỹ thuật'
Gioi,Gioi,Kha,Kha,Kha,Gioi,Kha,Gioi,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Gioi,'Xã hội'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Gioi,'Xã hội'
Gioi,Gioi,Kha,Gioi,Gioi,Kha,Kha,Gioi,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Gioi,Gioi,'Kinh doanh'
Gioi,Gioi,Gioi,Kha,Kha,Gioi,Gioi,Gioi,'Kinh doanh'
Gioi,Gioi,Gioi,Kha,Kha,Gioi,Gioi,Gioi,'Xã hội'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Kha,Kha,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Gioi,Gioi,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Gioi,'Kỹ thuật'
Gioi,Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Gioi,'Nghiệp vụ'
Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,'Nghiệp vụ'
Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Gioi,Gioi,'Kinh doanh'
Gioi,Gioi,Gioi,Kha,TB,Kha,Kha,Kha,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Kha,Kha,'Kinh doanh'
Gioi,Gioi,Kha,Kha,Gioi,Kha,Kha,Gioi,'Kỹ thuật'
Gioi,Gioi,Kha,Gioi,Kha,Kha,Kha,Kha,'Xã hội'
Gioi,Gioi,Kha,Gioi,Kha,Kha,Kha,Gioi,'Kỹ thuật'
Gioi,Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Gioi,'Nghiệp vụ'
Gioi,Gioi,Gioi,Kha,Kha,Kha,Gioi,Gioi,'Nghiên cứu'
Gioi,Gioi,Gioi,Kha,Kha,Kha,Kha,Gioi,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Kha,Gioi,'Kinh doanh'
Gioi,Gioi,Kha,Kha,Kha,Kha,Gioi,Gioi,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Kha,Gioi,'Kinh doanh'
Gioi,Gioi,Kha,Kha,Kha,Kha,Kha,Gioi,'Nghiệp vụ'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Gioi,'Nghiệp vụ'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Kha,'Nghiệp vụ'
Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Kha,Gioi,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Gioi,'Kỹ thuật'
Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Gioi,Gioi,'Xã hội'
Gioi,Gioi,Kha,Kha,Kha,Kha,Kha,Kha,'Xã hội'
Gioi,Gioi,Kha,Kha,Kha,Gioi,Kha,Kha,'Kỹ thuật'
Gioi,Gioi,Kha,Gioi,Gioi,Gioi,Gioi,Gioi,'Nghiên cứu'
Gioi,Gioi,Kha,Gioi,Gioi,Kha,Kha,Gioi,'Xã hội'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Gioi,'Kinh doanh'
Gioi,Gioi,Kha,Gioi,Gioi,Kha,Gioi,Gioi,'Nghiệp vụ'
Gioi,Gioi,Gioi,Kha,Kha,Kha,Gioi,Gioi,'Kỹ thuật'
Gioi,Gioi,Kha,Kha,Gioi,Gioi,Gioi,Gioi,'Xã hội'
Gioi,Gioi,Gioi,Kha,Kha,Kha,Gioi,Kha,'Kỹ thuật'
Kha,Gioi,Kha,Kha,Kha,Kha,Gioi,Kha,'Nghiệp vụ'
Kha,Gioi,Kha,Kha,Kha,Gioi,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Gioi,Kha,Kha,Kha,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Kha,Kha,Gioi,Kha,Gioi,Kha,'Nghiệp vụ'
Kha,Kha,Kha,Kha,Kha,Kha,Kha,Gioi,'Nghiệp vụ'
Kha,Kha,Kha,Kha,Kha,Kha,Kha,Kha,'Nghiên cứu'
TB,Kha,Kha,Kha,Kha,Kha,Kha,Kha,'Kỹ thuật'
Kha,Kha,Kha,Kha,Kha,Kha,Kha,Kha,'Kinh doanh'
Kha,Gioi,Kha,Kha,Kha,Gioi,Gioi,Kha,'Kinh doanh'
Kha,Kha,Kha,Kha,Kha,Kha,Kha,Kha,'Xã hội'
Kha,Gioi,Gioi,Kha,Kha,Kha,Gioi,Kha,'Kinh doanh'
Kha,Kha,Kha,Kha,Kha,Kha,Gioi,Kha,'Kỹ thuật'
Gioi,Gioi,Kha,Kha,Kha,Gioi,Gioi,Gioi,'Kinh doanh'
Gioi,Gioi,Kha,Kha,Gioi,Kha,Gioi,Gioi,'Xã hội'
Kha,Gioi,Kha,Kha,Kha,Kha,Gioi,Kha,'Kinh doanh'
Kha,Gioi,Gioi,Kha,Kha,Kha,Gioi,Kha,'Kỹ thuật'
Kha,Gioi,Kha,Kha,Kha,Kha,Gioi,Gioi,'Xã hội'
Gioi,Gioi,Gioi,Kha,Gioi,Kha,Gioi,Kha,'Xã hội'
Gioi,Gioi,Kha,Kha,Kha,Kha,Gioi,Gioi,'Xã hội'
Gioi,Gioi,Kha,Kha,Kha,Kha,Kha,Gioi,'Kỹ thuật'
Kha,Gioi,Gioi,Kha,Kha,Kha,Gioi,Kha,'Kinh doanh'
Kha,Kha,Kha,Kha,Kha,Kha,Kha,Gioi,'Xã hội'
Kha,Kha,Kha,Kha,Kha,Kha,Kha,Kha,'Xã hội'
Kha,Kha,Kha,Kha,Kha,Kha,Gioi,Kha,'Kỹ thuật'
Gioi,Kha,Kha,Kha,Gioi,Kha,Gioi,Gioi,'Nghiên cứu'
Gioi,Gioi,Kha,Kha,Kha,Gioi,Gioi,Gioi,'Xã hội'
Gioi,Kha,Kha,Kha,Kha,Kha,Gioi,Kha,'Xã hội'
Kha,Gioi,Gioi,Kha,Kha,Kha,Gioi,Kha,'Nghiệp vụ'
Kha,Gioi,Gioi,Gioi,Kha,Gioi,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Gioi,Kha,Kha,Kha,Kha,Gioi,'Xã hội'
Gioi,Kha,Kha,Kha,Kha,Kha,Kha,Kha,'Kỹ thuật'
Gioi,Gioi,Gioi,Kha,Kha,Kha,Kha,Kha,'Xã hội'
Gioi,Kha,Kha,Kha,Gioi,Gioi,Gioi,Gioi,'Nghiên cứu'
Gioi,Kha,Kha,Gioi,Kha,Kha,Gioi,Gioi,'Kỹ thuật'
Gioi,Kha,Kha,Kha,Gioi,Kha,Gioi,Gioi,'Nghiệp vụ'
Kha,Gioi,Kha,Kha,Gioi,Kha,Gioi,Gioi,'Kinh doanh'
Gioi,Gioi,Kha,Kha,Kha,Kha,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Kha,Kha,Kha,Kha,Gioi,Gioi,'Nghiệp vụ'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Kha,'Nghiệp vụ'
Gioi,Gioi,Kha,Gioi,Gioi,Gioi,Gioi,Kha,'Kỹ thuật'
Kha,Kha,Kha,Kha,Kha,Kha,Kha,TB,'Nghiên cứu'
Gioi,Kha,Kha,Kha,Gioi,Kha,Gioi,Gioi,'Nghiệp vụ'
Gioi,Gioi,Gioi,Kha,Kha,Kha,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Gioi,Kha,Kha,Kha,Gioi,Kha,'Kỹ thuật'
Gioi,Kha,Gioi,Kha,Gioi,Kha,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Gioi,Kha,Kha,Kha,Kha,Kha,'Kinh doanh'
Gioi,Kha,Kha,Kha,Gioi,Kha,Kha,Kha,'Xã hội'
Gioi,Gioi,Gioi,Kha,Kha,Kha,Kha,Kha,'Kinh doanh'
Kha,Kha,Kha,Kha,Kha,Kha,Kha,TB,'Xã hội'
Kha,Kha,Kha,Kha,Kha,Kha,Gioi,Kha,'Kỹ thuật'
Gioi,Gioi,Gioi,Kha,Kha,Kha,Kha,TB,'Kỹ thuật'
Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,Kha,'Xã hội'
Gioi,Kha,Kha,Kha,Kha,Kha,Gioi,TB,'Nghiệp vụ'
Kha,Gioi,Kha,Kha,Gioi,Kha,Gioi,Kha,'Nghiên cứu'
Gioi,Kha,Kha,Kha,Kha,Kha,Kha,TB,'Kinh doanh'
Gioi,Gioi,Gioi,Kha,Kha,Kha,Gioi,Kha,'Nghiên cứu'
Gioi,Gioi,Gioi,Kha,Kha,Kha,Gioi,TB,'Xã hội'
Kha,Kha,Kha,Kha,Kha,Kha,Gioi,TB,'Kỹ thuật'
Gioi,Kha,Gioi,Kha,Gioi,Kha,Kha,Kha,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Gioi,'Kỹ thuật'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Kha,TB,'Nghiệp vụ'
Kha,Gioi,Kha,Kha,Kha,Kha,Kha,TB,'Xã hội'
TB,Kha,Kha,Kha,Kha,Kha,Kha,Kha,'Kinh doanh'
Kha,Kha,Kha,Kha,Kha,Kha,Gioi,TB,'Kỹ thuật'
Gioi,Gioi,Gioi,Kha,Kha,Kha,Kha,TB,'Kỹ thuật'
Kha,Kha,Kha,TB,TB,TB,Kha,TB,'Kinh doanh'
Kha,Kha,Kha,Kha,Kha,Kha,Gioi,Kha,'Xã hội'
Kha,Kha,Kha,Kha,Kha,Kha,Gioi,Kha,'Kinh doanh'
